GameWeek,HomeTeam,AwayTeam,HomeGoals,AwayGoals
25,Stoke,Everton,0,3
25,Swansea,Crystal Palace,1,1
25,Tottenham,Watford,1,0
25,Bournemouth,Arsenal,0,2
25,Chelsea,Man United,1,1
26,Bournemouth,Stoke,1,3
26,Chelsea,Newcastle,5,1
26,Crystal Palace,Watford,1,2
26,Everton,West Brom,0,1
26,Norwich,West Ham,2,2
26,Sunderland,Man United,2,1
26,Swansea,Southampton,0,1
26,Arsenal,Leicester,2,1
26,Aston Villa,Liverpool,0,6
26,Man City,Tottenham,1,2
27,Leicester,Norwich,1,0
27,Southampton,Chelsea,1,2
27,Stoke,Aston Villa,2,1
27,Watford,Bournemouth,0,0
27,West Brom,Crystal Palace,3,2
27,West Ham,Sunderland,1,0
27,Tottenham,Swansea,2,1
27,Man United,Arsenal,3,2
28,Aston Villa,Everton,1,3
28,Bournemouth,Southampton,2,0
28,Leicester,West Brom,2,2
28,Norwich,Chelsea,1,2
28,Sunderland,Crystal Palace,2,2
28,Arsenal,Swansea,1,2
28,Liverpool,Man City,3,0
28,Man United,Watford,1,0
28,Stoke,Newcastle,1,0
28,West Ham,Tottenham,1,0
29,Chelsea,Stoke,1,1
29,Everton,West Ham,2,3
29,Man City,Aston Villa,4,0
29,Newcastle,Bournemouth,1,3
29,Southampton,Sunderland,1,1
29,Swansea,Norwich,1,0
29,Tottenham,Arsenal,2,2
29,Watford,Leicester,0,1
29,Crystal Palace,Liverpool,1,2
29,West Brom,Man United,1,0
30,Bournemouth,Swansea,3,2
30,Norwich,Man City,0,0
30,Stoke,Southampton,1,2
30,Aston Villa,Tottenham,0,2
30,Leicester,Newcastle,1,0
31,Chelsea,West Ham,2,2
31,Crystal Palace,Leicester,0,1
31,Everton,Arsenal,0,2
31,Swansea,Aston Villa,1,0
31,Watford,Stoke,1,2
31,West Brom,Norwich,0,1
31,Man City,Man United,0,1
31,Newcastle,Sunderland,1,1
31,Southampton,Liverpool,3,2
31,Tottenham,Bournemouth,3,0
32,Arsenal,Watford,4,0
32,Aston Villa,Chelsea,0,4
32,Bournemouth,Man City,0,4
32,Liverpool,Tottenham,1,1
32,Norwich,Newcastle,3,2
32,Stoke,Swansea,2,2
32,Sunderland,West Brom,0,0
32,West Ham,Crystal Palace,2,2
32,Leicester,Southampton,1,0
32,Man United,Everton,1,0
33,Aston Villa,Bournemouth,1,2
33,Crystal Palace,Norwich,1,0
33,Man City,West Brom,2,1
33,Southampton,Newcastle,3,1
33,Swansea,Chelsea,1,0
33,Watford,Everton,1,1
33,West Ham,Arsenal,3,3
33,Liverpool,Stoke,4,1
33,Sunderland,Leicester,0,2
33,Tottenham,Man United,3,0
33,Crystal Palace,Everton,0,0
34,Chelsea,Man City,0,3
34,Everton,Southampton,1,1
34,Man United,Aston Villa,1,0
34,Newcastle,Swansea,3,0
34,Norwich,Sunderland,0,3
34,West Brom,Watford,0,1
34,Arsenal,Crystal Palace,1,1
34,Bournemouth,Liverpool,1,2
34,Leicester,West Ham,2,2
